battery_id,cycle_number,capacity_fade_rate,resistance_growth_rate,average_charge_discharge_ratio,voltage_delta_trend,cycle_count,current_discharge_capacity,current_SOH,capacity_variance_last_10_cycles,energy_efficiency,health_tier
CS2_33,11,0.0020749937203479083,-5.700654904584753e-06,0.9990615016215763,-2.9451196843915445e-05,11,1.0748919242797452,102.62073654384456,0.0011128856208856702,0.6433682285219944,Good
CS2_33,12,0.0017020777886052412,8.671013740225051e-05,0.9991214275737695,-8.49553755107705e-06,12,1.073224898216436,102.46158431784826,0.0010915017295101532,0.6433232406719174,Good
CS2_33,13,0.0015156225513626982,9.981328979248316e-05,0.9989783709039076,-1.1576401008317837e-05,13,1.0761079592239664,102.73683231014464,0.0010642788965525667,0.6434179362680226,Good
CS2_33,14,0.0013917347026880238,5.992354061206138e-05,0.9989736832678707,-1.7800697913513235e-05,14,1.0773895222910514,102.85918409538088,9.150320567921985e-06,0.6434247763691164,Good
CS2_33,15,0.0011470188538973006,7.222149579255066e-05,0.999183917667084,-1.3307162693554365e-05,15,1.072213707107652,102.36504514583844,1.0130146797406082e-05,0.6432888805429847,Good
CS2_33,16,0.000951016006373244,8.861647748695942e-05,0.9991669640118267,-1.0006918626665244e-05,16,1.0718983109537774,102.33493403896097,1.1045315587102742e-05,0.6432989720930788,Good
CS2_33,17,0.0007985168661461708,9.756580079598194e-05,0.9991744751571804,-4.371591642779177e-06,17,1.071931970471912,102.33814753835068,1.118384375340176e-05,0.6432911389127268,Good
CS2_33,18,0.0006833962124844425,0.00012995066892766994,0.9991392463502263,-3.40281625266512e-07,18,1.0722685756884225,102.37028349031252,1.1547327323527562e-05,0.6433111675916953,Good
CS2_33,19,0.0006406631379157167,0.00010673360990242823,0.9990456575310889,-5.117633886495243e-06,19,1.075464346810886,102.67538615133816,7.031049496235327e-06,0.643374520371512,Good
CS2_33,20,0.0005612793673763219,7.757533337029453e-05,0.9991650446997443,-8.525167192726242e-06,20,1.072727532814049,102.41410047061537,3.7308949281376187e-06,0.643300491462782,Good
CS2_33,21,0.00044696729235771854,9.082775738652163e-05,0.9991844709046178,-8.837588421707818e-06,21,1.0690116573257384,102.05934305649562,5.656810634843089e-06,0.6432892245375383,Good
CS2_33,22,0.0005912319165965849,9.776099553135566e-05,0.9995963126780483,-5.053235338864298e-06,22,1.0684306303860147,102.00387197967436,7.492488615573238e-06,0.6430243698256966,Good
