battery_id,cycle_number,charge_capacity_Ah,discharge_capacity_Ah,charge_voltage_max,discharge_voltage_min,charge_time_min,discharge_time_min,internal_resistance_ohms,SOH_percent,health_tier
CS2_33,1,1.074849761023455,1.084926744456719,4.200226783752441,2.6995368003845215,103.51237875710909,118.32417275725432,0.09246874232718974,103.57876833698145,Good
CS2_33,2,1.0858243223374189,1.086914526364726,4.200226783752441,2.6996986865997314,104.8566191521079,118.53431306403935,0.09205109626054764,103.7685433635497,Good
CS2_33,3,0.969720070348012,0.9704824752778611,4.2000651359558105,2.6993746757507324,105.81079507776462,105.83660935091183,0.09213623109866273,92.65268829946886,Good
CS2_33,4,1.0859447838878968,1.0821838622458468,4.200226783752441,2.6996986865997314,105.27696655280553,118.02888792446659,0.0932804600453278,103.31690331932275,Good
CS2_33,5,1.0803428692727222,1.0807367025686974,4.200226783752441,2.6998608112335205,104.11026418044143,117.85413638549045,0.09394827423125443,103.17874190177822,Good
CS2_33,6,1.0793851874316962,1.0800278982252216,4.200226783752441,2.6996986865997314,104.01082998188426,117.77627385196124,0.09221534803509712,103.11107182058221,Good
CS2_33,7,1.0778283798864425,1.077970577631171,4.200226783752441,2.6996986865997314,103.53057927206116,117.55512823472823,0.09298682729237263,102.91465788360918,Good
CS2_33,8,1.0789647132470108,1.081642428075524,4.2000651359558105,2.6996986865997314,104.56793680087989,117.95018504772813,0.09176617044778097,103.2652121938305,Good
CS2_33,9,1.0808115600824824,1.0802265140691034,4.2000651359558105,2.6998608112335205,105.01440306486191,117.79463335752834,0.09205307975349585,103.13003382385719,Good
CS2_33,10,1.0759649098456467,1.075174598121622,4.2003889083862305,2.6998608112335205,103.24905361554418,117.24964609522745,0.09190420957601719,102.64772362710366,Good
CS2_33,11,1.0744279604284088,1.0748919242797452,4.200226783752441,2.6998608112335205,103.25190788273422,117.22179600069018,0.09330873330080858,102.62073654384456,Good
CS2_33,12,1.072989446677095,1.073224898216436,4.2003889083862305,2.6995368003845215,102.94355950282308,117.03949714570216,0.09492476506769157,102.46158431784826,Good
CS2_33,13,1.073161242969583,1.0761079592239664,4.200226783752441,2.6998608112335205,102.82115182384105,117.34565386088094,0.09371473963530559,102.73683231014465,Good
CS2_33,14,1.076218124067946,1.0773895222910514,4.2000651359558105,2.6998608112335205,104.15259722498338,117.48505471661313,0.0921301423511981,102.85918409538088,Good
CS2_33,15,1.0744945193077609,1.072213707107652,4.200226783752441,2.6996986865997314,103.38979947887226,116.92960736782713,0.09371911757772074,102.36504514583844,Good
CS2_33,16,1.0707327921685703,1.0718983109537774,4.200226783752441,2.6996986865997314,102.62143384595907,116.89316063960295,0.09416154026985168,102.33493403896097,Good
CS2_33,17,1.0711758869899057,1.071931970471912,4.200226783752441,2.6995368003845215,102.78240263298258,116.89815013439959,0.0941327478767944,102.33814753835068,Good
CS2_33,18,1.070703445973212,1.0722685756884225,4.200226783752441,2.6995368003845215,102.74854763327819,116.9353932559607,0.09571827822873573,102.37028349031252,Good
CS2_33,19,1.072626259622563,1.075464346810886,4.2000651359558105,2.6998608112335205,103.78952987677575,117.2777879228086,0.09290970113742825,102.67538615133817,Good
